Active Status,Item,Description,Price,Cost,Manufacturer
Active,ADEMCO:6150,Fixed English LCD Keypad,87.98,54.99,ADEMCO
Active,ADEMCO:6150RF,Fixed English Integrated Keypad / Receiver,177.58,110.99,ADEMCO
Active,ADEMCO:6160,Customizable English LCD Keypad,174.38,113.99,ADEMCO
Active,ADEMCO:6160CR-2,Commercial Fire Alpha Keypad,246.38,157.99,ADEMCO
Active,ADEMCO:6160RF,Deluxe Customizable English Integrated Keypad / Receiver,319.98,199.99,ADEMCO
Active,ADEMCO:6280S,"Color Graphic Voice Touches Keypad, Silver",390.38,243.99,ADEMCO
Active,ADEMCO:6280W,"Color Graphic Voice Touchscreen Keypad, White",398.38,248.99,ADEMCO
Active,ADEMCO:6460S,"Premium LED Keypad, Black & Silver",215.98,139.99,ADEMCO
Active,ADEMCO:6460W,"Premium LED Keypad, White & Grey",215.98,107.14,ADEMCO
Active,ADEMCO:7847I,VIP Communicator for VISTA Series Panels,185,115,ADEMCO
Active,ADEMCO:944TSP-BR,"3/4"" Contact with Terminals and 3/8"" Magnet.",4.27,2.51,ADEMCO
Active,ADEMCO:958,Overhead Door Magnetic Contact,31.98,15.99,ADEMCO
Active,ADEMCO:CDMA-X,CDMA Communicator for VISTA.,169.99,69.99,ADEMCO
Active,ADEMCO:CELL-ANTHB,"Hepta-band Blade Antenna, Includes CELL-EXT.",30.99,17.5,ADEMCO
Active,ADEMCO:CELL-EXTRA,Coax Cable Adapter.,21.99,16.99,ADEMCO
Active,ADEMCO:CELL3DB50KT,AlarmNet 50? Antenna Kit.,219.99,152.08,ADEMCO
Active,ADEMCO:DT7435,Dual Technology PR,55.98,34.99,ADEMCO
Active,ADEMCO:DT8035,"High Performance, Small Form Factor Motion Detector.",69.98,36.99,ADEMCO
Active,ADEMCO:FG1625RFM,Recessed Glassware Sensor,75,40.5,ADEMCO
Active,ADEMCO:GSMV4G,Digital Cellular Communicator with Two-Way Voice Transport Capability,294.4,184,ADEMCO
Active,ADEMCO:HP300ULX,Power Supply,200,143.99,ADEMCO
Active,ADEMCO:HP312CX,Aux Power Supply,113.38,69.99,ADEMCO
Active,ADEMCO:IGSMCFP4G,Commercial Fire Communications Radio for VISTA.,484.5,284.99,ADEMCO
Active,ADEMCO:IGSMV4G,Internet and GM Communicator with Two-Way Voice Transport Capability,250,139,ADEMCO
Active,ADEMCO:SK-PULL-DA,Dual-Action Pull Station,169,73.99,ADEMCO
Active,ADEMCO:T280R,External Temperature Probe,19.34,12.38,ADEMCO
Active,ADEMCO:TS300,Dual Temperature Sensor,91.18,56.99,ADEMCO
Active,ADEMCO:TUXWIFIS,"Tuxedo Touch Security & Home / Business Controller, Silver",630.38,393.99,ADEMCO
Active,ADEMCO:TUXWIFIW,"Tuxedo Touch Security & Home / Business Controller, White",630.38,393.99,ADEMCO
Active,ADEMCO:V128BPT-KT77,"Turbo Control Panel, (1x) 4204 Relay, (3x) 4208U Expansion Cards, & (1x) 7847i (VIP ONLY) Long R...",899,310,ADEMCO
Active,ADEMCO:V128BPT-KT94,Vista Commercial Turbo Panel w/ IP & Cellular Communication,854,435.54,ADEMCO
Active,ADEMCO:V128BPT-KTB,"Vista Commercial Turbo Panel w/Cellular Communication, RF Heat Detector and Components.",2085,999,ADEMCO
Not-active,ADEMCO:VISTA-128BPE,Partitioned Commercial Burglary Alarm Control Panel,424,265,ADEMCO
Active,ADEMCO:VISTA-128BPT,Commercial Partitioned Burglary Alarm Control Panel,475,305.99,ADEMCO
Not-active,ADEMCO:VISTA-128FBP-9,Commercial Partitioned Fire and Burglary Alarm Control Panel,686.38,428.99,ADEMCO
Active,ADEMCO:VISTA-128FBPT,Commercial Partitioned Fire and Burglary Alarm Control Panel,806.38,503.99,ADEMCO
Active,ADEMCO:VISTA-21IP,48-Zone Control Panel with VIP Connection,265.5,169.99,ADEMCO
